1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AutoMob,AutoNation,Autonet,Autonet_ca,Autopoint,Autoweb,Jake_Foster,Ryan_Eyers,Xenia_Hertzenberg,autochooser,buycars,igor,yana,NorthIdahoHomeseekers,PlanetProperties,YahooRealEstate,newhomebuilders,RealEstate,SpaceForLease
1,0.885,0.695,0.872,0.87,0.914,0.873,0.908,0.747,0.934,0.897,0.884,0.747,0.997,0.992,0.861,0.985,0.988,0.876
0.885,1,0.86,0.8,0.729,0.676,0.969,0.96,0.942,0.843,0.849,0.944,0.964,0.996,0.987,0.962,0.997,0.989,0.962
0.695,0.86,1,0.812,0.791,0.917,0.807,0.806,0.651,0.885,0.878,0.765,0.667,0.989,0.959,0.674,0.966,0.967,0.725
0.872,0.8,0.812,1,0.704,0.831,0.917,0.941,0.926,0.862,0.774,0.893,0.933,0.953,0.975,0.968,0.958,0.966,0.969
0.87,0.729,0.791,0.704,1,0.707,0.945,0.963,0.933,0.775,0.819,0.957,0.878,0.975,0.968,0.97,0.892,0.976,0.978
0.914,0.676,0.917,0.831,0.707,1,0.981,0.956,0.98,0.841,0.892,0.985,0.983,0.977,0.963,0.98,0.837,0.986,0.974
0.873,0.969,0.807,0.917,0.945,0.981,1,0.714,0.564,0.974,0.931,0.627,0.662,0.974,0.972,0.833,0.972,0.974,0.869
0.908,0.96,0.806,0.941,0.963,0.956,0.714,1,0.784,0.987,0.921,0.8,0.657,0.956,0.98,0.835,0.969,0.968,0.858
0.747,0.942,0.651,0.926,0.933,0.98,0.564,0.784,1,0.963,0.924,0.669,0.643,0.972,0.952,0.757,0.947,0.953,0.786
0.934,0.843,0.885,0.862,0.775,0.841,0.974,0.987,0.963,1,0.925,0.984,0.957,0.984,0.946,0.984,0.951,0.989,0.979
0.897,0.849,0.878,0.774,0.819,0.892,0.931,0.921,0.924,0.925,1,0.911,0.903,0.976,0.953,0.927,0.915,0.891,0.912
0.884,0.944,0.765,0.893,0.957,0.985,0.627,0.8,0.669,0.984,0.911,1,0.672,0.99,0.994,0.793,0.967,0.98,0.822
0.747,0.964,0.667,0.933,0.878,0.983,0.662,0.657,0.643,0.957,0.903,0.672,1,0.978,0.982,0.738,0.973,0.974,0.784
0.997,0.996,0.989,0.953,0.975,0.977,0.974,0.956,0.972,0.984,0.976,0.99,0.978,1,0.968,0.972,0.953,0.946,0.987
0.992,0.987,0.959,0.975,0.968,0.963,0.972,0.98,0.952,0.946,0.953,0.994,0.982,0.968,1,0.971,0.955,0.955,0.474
0.861,0.962,0.674,0.968,0.97,0.98,0.833,0.835,0.757,0.984,0.927,0.793,0.738,0.972,0.971,1,0.941,0.775,0.735
0.985,0.997,0.966,0.958,0.892,0.837,0.972,0.969,0.947,0.951,0.915,0.967,0.973,0.953,0.955,0.941,1,0.878,0.953
0.988,0.989,0.967,0.966,0.976,0.986,0.974,0.968,0.953,0.989,0.891,0.98,0.974,0.946,0.955,0.775,0.878,1,0.919
0.876,0.962,0.725,0.969,0.978,0.974,0.869,0.858,0.786,0.979,0.912,0.822,0.784,0.987,0.474,0.735,0.953,0.919,1
